Entity,Code,Year,Number of people who cannot afford a healthy diet
Albania,ALB,2017,699999
Albania,ALB,2018,500000
Albania,ALB,2019,400000
Albania,ALB,2020,400000
Albania,ALB,2021,400000
Albania,ALB,2022,300000
Albania,ALB,2023,300000
Albania,ALB,2024,300000
Algeria,DZA,2017,7800000
Algeria,DZA,2018,7699999
Algeria,DZA,2019,7599999
Algeria,DZA,2020,8500000
Algeria,DZA,2021,8800000
Algeria,DZA,2022,9300000
Algeria,DZA,2023,9699999
Algeria,DZA,2024,9399999
Angola,AGO,2017,18399999
Angola,AGO,2018,19799999
Angola,AGO,2019,20799999
Angola,AGO,2020,22799999
Angola,AGO,2021,24100000
Angola,AGO,2022,25100000
Angola,AGO,2023,26000000
Angola,AGO,2024,27100000
Argentina,ARG,2017,3799999
Armenia,ARM,2017,1399999
Armenia,ARM,2018,1399999
Armenia,ARM,2019,1500000
Armenia,ARM,2020,1600000
Armenia,ARM,2021,1600000
Armenia,ARM,2022,1600000
Armenia,ARM,2023,1500000
Armenia,ARM,2024,1899999
Australia,AUS,2017,699999
Australia,AUS,2018,800000
Australia,AUS,2019,800000
Australia,AUS,2020,899999
Australia,AUS,2021,800000
Australia,AUS,2022,800000
Australia,AUS,2023,899999
Australia,AUS,2024,899999
Austria,AUT,2017,200000
Austria,AUT,2018,200000
Austria,AUT,2019,200000
Austria,AUT,2020,200000
Austria,AUT,2021,300000
Austria,AUT,2022,300000
Austria,AUT,2023,300000
Austria,AUT,2024,300000
Azerbaijan,AZE,2017,100000
Azerbaijan,AZE,2018,100000
Azerbaijan,AZE,2019,100000
Azerbaijan,AZE,2020,100000
Azerbaijan,AZE,2021,100000
Azerbaijan,AZE,2022,100000
Azerbaijan,AZE,2023,100000
Azerbaijan,AZE,2024,100000
Bangladesh,BGD,2017,106599998
Bangladesh,BGD,2018,101500000
Bangladesh,BGD,2019,97699996
Bangladesh,BGD,2020,94099998
Bangladesh,BGD,2021,88300003
Bangladesh,BGD,2022,83099998
Bangladesh,BGD,2023,79800003
Bangladesh,BGD,2024,77099998
Belarus,BLR,2017,300000
Belarus,BLR,2018,200000
Belarus,BLR,2019,200000
Belarus,BLR,2020,100000
Belarus,BLR,2021,100000
Belarus,BLR,2022,100000
Belarus,BLR,2023,100000
Belarus,BLR,2024,100000
Belgium,BEL,2017,200000
Belgium,BEL,2018,100000
Belgium,BEL,2019,200000
Belgium,BEL,2020,100000
Belgium,BEL,2021,100000
Belgium,BEL,2022,100000
Belgium,BEL,2023,100000
Belgium,BEL,2024,100000
Belize,BLZ,2017,200000
Belize,BLZ,2018,200000
Belize,BLZ,2019,200000
Belize,BLZ,2020,300000
Belize,BLZ,2021,300000
Belize,BLZ,2022,300000
Belize,BLZ,2023,300000
Belize,BLZ,2024,300000
Benin,BEN,2017,9500000
Benin,BEN,2018,8600000
Benin,BEN,2019,8100000
Benin,BEN,2020,8100000
Benin,BEN,2021,8100000
Benin,BEN,2022,7800000
Benin,BEN,2023,7699999
Benin,BEN,2024,7699999
Bhutan,BTN,2017,200000
Bhutan,BTN,2018,100000
Bhutan,BTN,2019,100000
Bhutan,BTN,2020,100000
Bhutan,BTN,2021,200000
Bhutan,BTN,2022,0
Bhutan,BTN,2023,0
Bhutan,BTN,2024,0
Bolivia,BOL,2017,1700000
Bolivia,BOL,2018,1500000
Bolivia,BOL,2019,1200000
Bolivia,BOL,2020,1299999
Bolivia,BOL,2021,1100000
Bolivia,BOL,2022,1100000
Bolivia,BOL,2023,1100000
Bolivia,BOL,2024,1100000
Bosnia and Herzegovina,BIH,2017,200000
Bosnia and Herzegovina,BIH,2018,200000
Bosnia and Herzegovina,BIH,2019,200000
Bosnia and Herzegovina,BIH,2020,200000
Bosnia and Herzegovina,BIH,2021,200000
Bosnia and Herzegovina,BIH,2022,200000
Bosnia and Herzegovina,BIH,2023,200000
Bosnia and Herzegovina,BIH,2024,200000
Botswana,BWA,2017,1399999
Botswana,BWA,2018,1399999
Botswana,BWA,2019,1399999
Botswana,BWA,2020,1399999
Botswana,BWA,2021,1500000
Botswana,BWA,2022,1500000
Botswana,BWA,2023,1500000
Botswana,BWA,2024,1500000
Brazil,BRA,2017,55500000
Brazil,BRA,2018,54299999
Brazil,BRA,2019,53900001
