country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Albania,ALB,2001,4.8,
Albania,ALB,2002,5.9,
Albania,ALB,2003,7.3,
Albania,ALB,2004,8.5,
Albania,ALB,2005,8.8,
Albania,ALB,2006,8.7,
Albania,ALB,2007,8.2,
Albania,ALB,2008,7.3,
Albania,ALB,2009,6.1,
Albania,ALB,2010,5.4,
Albania,ALB,2011,4.9,
Albania,ALB,2012,4.6,
Albania,ALB,2013,4.6,
Albania,ALB,2014,4.6,
Albania,ALB,2015,4.5,10.0
Albania,ALB,2016,4.4,10.5
Albania,ALB,2017,4.3,11.0
Albania,ALB,2018,4.3,10.0
Albania,ALB,2019,4.3,8.8
Albania,ALB,2020,5.4,7.7
Albania,ALB,2021,5.8,7.5
Albania,ALB,2022,6.2,8.2
Albania,ALB,2023,5.4,8.4
