country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Algeria,DZA,2001,7.3,
Algeria,DZA,2002,6.7,
Algeria,DZA,2003,6.4,
Algeria,DZA,2004,6.4,
Algeria,DZA,2005,6.1,
Algeria,DZA,2006,5.8,
Algeria,DZA,2007,5.3,
Algeria,DZA,2008,5.0,
Algeria,DZA,2009,4.7,
Algeria,DZA,2010,4.1,
Algeria,DZA,2011,3.7,
Algeria,DZA,2012,3.1,
Algeria,DZA,2013,2.9,
Algeria,DZA,2014,2.7,
Algeria,DZA,2015,2.6,13.0
Algeria,DZA,2016,2.6,12.7
Algeria,DZA,2017,2.5,11.4
Algeria,DZA,2018,2.5,9.3
Algeria,DZA,2019,2.5,6.9
Algeria,DZA,2020,2.5,6.2
Algeria,DZA,2021,2.5,5.6
Algeria,DZA,2022,2.5,5.6
Algeria,DZA,2023,2.5,4.9
