country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Angola,AGO,2001,67.8,
Angola,AGO,2002,63.6,
Angola,AGO,2003,57.5,
Angola,AGO,2004,50.6,
Angola,AGO,2005,42.9,
Angola,AGO,2006,36.0,
Angola,AGO,2007,29.8,
Angola,AGO,2008,24.4,
Angola,AGO,2009,19.7,
Angola,AGO,2010,16.2,
Angola,AGO,2011,14.8,
Angola,AGO,2012,14.0,
Angola,AGO,2013,13.5,
Angola,AGO,2014,13.2,
Angola,AGO,2015,14.2,
Angola,AGO,2016,15.2,
Angola,AGO,2017,15.4,
Angola,AGO,2018,15.9,
Angola,AGO,2019,18.2,26.9
Angola,AGO,2020,20.8,30.4
Angola,AGO,2021,22.6,31.2
Angola,AGO,2022,23.1,
Angola,AGO,2023,22.5,
