country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Argentina,ARG,2001,3.0,
Argentina,ARG,2002,3.7,
Argentina,ARG,2003,4.3,
Argentina,ARG,2004,3.9,
Argentina,ARG,2005,3.6,
Argentina,ARG,2006,3.3,
Argentina,ARG,2007,3.2,
Argentina,ARG,2008,3.2,
Argentina,ARG,2009,3.4,
Argentina,ARG,2010,3.7,
Argentina,ARG,2011,3.7,
Argentina,ARG,2012,3.6,
Argentina,ARG,2013,3.2,
Argentina,ARG,2014,2.9,
Argentina,ARG,2015,2.9,5.8
Argentina,ARG,2016,3.2,8.6
Argentina,ARG,2017,3.5,11.2
Argentina,ARG,2018,3.7,12.9
Argentina,ARG,2019,3.6,12.6
Argentina,ARG,2020,3.5,13.0
Argentina,ARG,2021,3.4,13.1
Argentina,ARG,2022,3.3,13.1
Argentina,ARG,2023,3.4,12.3
