country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Armenia,ARM,2001,28.6,
Armenia,ARM,2002,26.9,
Armenia,ARM,2003,23.5,
Armenia,ARM,2004,18.4,
Armenia,ARM,2005,14.8,
Armenia,ARM,2006,10.9,
Armenia,ARM,2007,7.7,
Armenia,ARM,2008,5.1,
Armenia,ARM,2009,3.2,
Armenia,ARM,2010,2.5,
Armenia,ARM,2011,2.5,
Armenia,ARM,2012,2.5,
Armenia,ARM,2013,2.5,
Armenia,ARM,2014,2.5,
Armenia,ARM,2015,2.5,
Armenia,ARM,2016,2.5,
Armenia,ARM,2017,2.5,1.2
Armenia,ARM,2018,2.5,1.1
Armenia,ARM,2019,2.5,0.8
Armenia,ARM,2020,2.5,0.5
Armenia,ARM,2021,2.5,0.5
Armenia,ARM,2022,2.5,0.5
Armenia,ARM,2023,2.5,0.5
