country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Australia,AUS,2001,2.5,
Australia,AUS,2002,2.5,
Australia,AUS,2003,2.5,
Australia,AUS,2004,2.5,
Australia,AUS,2005,2.5,
Australia,AUS,2006,2.5,
Australia,AUS,2007,2.5,
Australia,AUS,2008,2.5,
Australia,AUS,2009,2.5,
Australia,AUS,2010,2.5,
Australia,AUS,2011,2.5,
Australia,AUS,2012,2.5,
Australia,AUS,2013,2.5,
Australia,AUS,2014,2.5,
Australia,AUS,2015,2.5,2.8
Australia,AUS,2016,2.5,3.4
Australia,AUS,2017,2.5,3.6
Australia,AUS,2018,2.5,3.8
Australia,AUS,2019,2.5,3.3
Australia,AUS,2020,2.5,3.6
Australia,AUS,2021,2.5,3.4
Australia,AUS,2022,2.5,4.2
Australia,AUS,2023,2.5,3.7
