country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Austria,AUT,2001,2.5,
Austria,AUT,2002,2.5,
Austria,AUT,2003,2.5,
Austria,AUT,2004,2.5,
Austria,AUT,2005,2.5,
Austria,AUT,2006,2.5,
Austria,AUT,2007,2.5,
Austria,AUT,2008,2.5,
Austria,AUT,2009,2.5,
Austria,AUT,2010,2.5,
Austria,AUT,2011,2.5,
Austria,AUT,2012,2.5,
Austria,AUT,2013,2.5,
Austria,AUT,2014,2.5,
Austria,AUT,2015,2.5,1.1
Austria,AUT,2016,2.5,1.2
Austria,AUT,2017,2.5,1.1
Austria,AUT,2018,2.5,1.1
Austria,AUT,2019,2.5,0.9
Austria,AUT,2020,2.5,1.3
Austria,AUT,2021,2.5,1.6
Austria,AUT,2022,2.5,1.8
Austria,AUT,2023,2.5,1.5
