country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Azerbaijan,AZE,2001,17.8,
Azerbaijan,AZE,2002,14.4,
Azerbaijan,AZE,2003,11.4,
Azerbaijan,AZE,2004,8.2,
Azerbaijan,AZE,2005,5.3,
Azerbaijan,AZE,2006,3.1,
Azerbaijan,AZE,2007,2.5,
Azerbaijan,AZE,2008,2.5,
Azerbaijan,AZE,2009,2.5,
Azerbaijan,AZE,2010,2.5,
Azerbaijan,AZE,2011,2.5,
Azerbaijan,AZE,2012,2.5,
Azerbaijan,AZE,2013,2.5,
Azerbaijan,AZE,2014,2.5,
Azerbaijan,AZE,2015,2.5,0.5
Azerbaijan,AZE,2016,2.5,0.5
Azerbaijan,AZE,2017,2.5,0.5
Azerbaijan,AZE,2018,2.5,0.5
Azerbaijan,AZE,2019,2.5,0.5
Azerbaijan,AZE,2020,2.5,0.5
Azerbaijan,AZE,2021,2.5,0.5
Azerbaijan,AZE,2022,2.5,0.7
Azerbaijan,AZE,2023,2.5,1.3
