country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Bangladesh,BGD,2001,15.5,
Bangladesh,BGD,2002,14.6,
Bangladesh,BGD,2003,14.8,
Bangladesh,BGD,2004,14.7,
Bangladesh,BGD,2005,15.1,
Bangladesh,BGD,2006,15.4,
Bangladesh,BGD,2007,16.1,
Bangladesh,BGD,2008,16.9,
Bangladesh,BGD,2009,17.9,
Bangladesh,BGD,2010,18.2,
Bangladesh,BGD,2011,18.0,
Bangladesh,BGD,2012,17.3,
Bangladesh,BGD,2013,16.7,
Bangladesh,BGD,2014,15.6,
Bangladesh,BGD,2015,15.2,
Bangladesh,BGD,2016,14.4,
Bangladesh,BGD,2017,13.4,
Bangladesh,BGD,2018,12.0,
Bangladesh,BGD,2019,10.9,
Bangladesh,BGD,2020,10.8,
Bangladesh,BGD,2021,10.3,
Bangladesh,BGD,2022,10.6,
Bangladesh,BGD,2023,10.4,
