country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Belarus,BLR,2001,2.7,
Belarus,BLR,2002,3.7,
Belarus,BLR,2003,4.4,
Belarus,BLR,2004,4.5,
Belarus,BLR,2005,3.4,
Belarus,BLR,2006,2.5,
Belarus,BLR,2007,2.5,
Belarus,BLR,2008,2.5,
Belarus,BLR,2009,2.5,
Belarus,BLR,2010,2.5,
Belarus,BLR,2011,2.5,
Belarus,BLR,2012,2.5,
Belarus,BLR,2013,2.5,
Belarus,BLR,2014,2.5,
Belarus,BLR,2015,2.5,
Belarus,BLR,2016,2.5,
Belarus,BLR,2017,2.5,
Belarus,BLR,2018,2.5,
Belarus,BLR,2019,2.5,0.5
Belarus,BLR,2020,2.5,0.5
Belarus,BLR,2021,2.5,0.5
Belarus,BLR,2022,2.5,0.5
Belarus,BLR,2023,2.5,0.5
