country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Belgium,BEL,2001,2.5,
Belgium,BEL,2002,2.5,
Belgium,BEL,2003,2.5,
Belgium,BEL,2004,2.5,
Belgium,BEL,2005,2.5,
Belgium,BEL,2006,2.5,
Belgium,BEL,2007,2.5,
Belgium,BEL,2008,2.5,
Belgium,BEL,2009,2.5,
Belgium,BEL,2010,2.5,
Belgium,BEL,2011,2.5,
Belgium,BEL,2012,2.5,
Belgium,BEL,2013,2.5,
Belgium,BEL,2014,2.5,
Belgium,BEL,2015,2.5,
Belgium,BEL,2016,2.5,
Belgium,BEL,2017,2.5,
Belgium,BEL,2018,2.5,
Belgium,BEL,2019,2.5,1.1
Belgium,BEL,2020,2.5,1.3
Belgium,BEL,2021,2.5,1.5
Belgium,BEL,2022,2.5,2.0
Belgium,BEL,2023,2.5,2.4
