country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Belize,BLZ,2001,5.7,
Belize,BLZ,2002,5.4,
Belize,BLZ,2003,5.2,
Belize,BLZ,2004,5.1,
Belize,BLZ,2005,5.0,
Belize,BLZ,2006,4.9,
Belize,BLZ,2007,4.9,
Belize,BLZ,2008,4.8,
Belize,BLZ,2009,4.7,
Belize,BLZ,2010,4.9,
Belize,BLZ,2011,5.1,
Belize,BLZ,2012,5.5,
Belize,BLZ,2013,6.0,
Belize,BLZ,2014,6.4,
Belize,BLZ,2015,6.5,
Belize,BLZ,2016,6.1,
Belize,BLZ,2017,5.8,
Belize,BLZ,2018,5.3,
Belize,BLZ,2019,5.0,6.0
Belize,BLZ,2020,5.0,6.0
Belize,BLZ,2021,5.1,5.9
Belize,BLZ,2022,5.8,
Belize,BLZ,2023,7.0,
