country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Benin,BEN,2001,14.3,
Benin,BEN,2002,12.8,
Benin,BEN,2003,11.2,
Benin,BEN,2004,10.4,
Benin,BEN,2005,9.2,
Benin,BEN,2006,8.9,
Benin,BEN,2007,8.5,
Benin,BEN,2008,8.2,
Benin,BEN,2009,8.7,
Benin,BEN,2010,9.1,
Benin,BEN,2011,9.6,
Benin,BEN,2012,9.4,
Benin,BEN,2013,9.2,
Benin,BEN,2014,9.2,
Benin,BEN,2015,9.1,10.4
Benin,BEN,2016,9.7,13.1
Benin,BEN,2017,10.5,14.4
Benin,BEN,2018,11.4,14.8
Benin,BEN,2019,11.8,14.7
Benin,BEN,2020,11.7,14.5
Benin,BEN,2021,12.5,15.4
Benin,BEN,2022,13.3,15.8
Benin,BEN,2023,14.3,15.0
