country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Bolivia,BOL,2001,26.6,
Bolivia,BOL,2002,25.8,
Bolivia,BOL,2003,26.6,
Bolivia,BOL,2004,27.2,
Bolivia,BOL,2005,27.6,
Bolivia,BOL,2006,26.0,
Bolivia,BOL,2007,24.5,
Bolivia,BOL,2008,23.0,
Bolivia,BOL,2009,21.4,
Bolivia,BOL,2010,19.9,
Bolivia,BOL,2011,18.8,
Bolivia,BOL,2012,18.1,
Bolivia,BOL,2013,18.0,
Bolivia,BOL,2014,17.2,
Bolivia,BOL,2015,16.1,
Bolivia,BOL,2016,14.9,
Bolivia,BOL,2017,14.2,
Bolivia,BOL,2018,13.7,
Bolivia,BOL,2019,13.6,
Bolivia,BOL,2020,16.0,
Bolivia,BOL,2021,19.1,
Bolivia,BOL,2022,21.6,
Bolivia,BOL,2023,21.8,
