country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Bosnia and Herzegovina,BIH,2001,3.6,
Bosnia and Herzegovina,BIH,2002,3.3,
Bosnia and Herzegovina,BIH,2003,2.8,
Bosnia and Herzegovina,BIH,2004,2.5,
Bosnia and Herzegovina,BIH,2005,2.5,
Bosnia and Herzegovina,BIH,2006,2.5,
Bosnia and Herzegovina,BIH,2007,2.5,
Bosnia and Herzegovina,BIH,2008,2.5,
Bosnia and Herzegovina,BIH,2009,2.5,
Bosnia and Herzegovina,BIH,2010,2.5,
Bosnia and Herzegovina,BIH,2011,2.5,
Bosnia and Herzegovina,BIH,2012,2.5,
Bosnia and Herzegovina,BIH,2013,2.5,
Bosnia and Herzegovina,BIH,2014,2.5,
Bosnia and Herzegovina,BIH,2015,2.5,1.5
Bosnia and Herzegovina,BIH,2016,2.5,1.8
Bosnia and Herzegovina,BIH,2017,2.5,1.3
Bosnia and Herzegovina,BIH,2018,2.5,1.5
Bosnia and Herzegovina,BIH,2019,2.5,1.9
Bosnia and Herzegovina,BIH,2020,2.5,2.8
Bosnia and Herzegovina,BIH,2021,2.5,3.1
Bosnia and Herzegovina,BIH,2022,2.5,2.8
Bosnia and Herzegovina,BIH,2023,2.5,1.9
