country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Botswana,BWA,2001,28.1,
Botswana,BWA,2002,28.5,
Botswana,BWA,2003,29.0,
Botswana,BWA,2004,28.1,
Botswana,BWA,2005,26.9,
Botswana,BWA,2006,26.6,
Botswana,BWA,2007,26.3,
Botswana,BWA,2008,26.0,
Botswana,BWA,2009,24.8,
Botswana,BWA,2010,23.3,
Botswana,BWA,2011,22.0,
Botswana,BWA,2012,21.3,
Botswana,BWA,2013,20.8,
Botswana,BWA,2014,20.1,
Botswana,BWA,2015,20.3,18.4
Botswana,BWA,2016,20.9,21.5
Botswana,BWA,2017,22.1,22.8
Botswana,BWA,2018,22.1,23.1
Botswana,BWA,2019,22.8,23.7
Botswana,BWA,2020,22.8,25.4
Botswana,BWA,2021,22.9,26.7
Botswana,BWA,2022,22.5,26.6
Botswana,BWA,2023,24.0,26.1
