country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Brazil,BRA,2001,10.5,
Brazil,BRA,2002,9.1,
Brazil,BRA,2003,7.6,
Brazil,BRA,2004,6.3,
Brazil,BRA,2005,5.7,
Brazil,BRA,2006,5.1,
Brazil,BRA,2007,4.5,
Brazil,BRA,2008,4.0,
Brazil,BRA,2009,3.5,
Brazil,BRA,2010,3.0,
Brazil,BRA,2011,2.7,
Brazil,BRA,2012,2.5,
Brazil,BRA,2013,2.5,
Brazil,BRA,2014,2.5,
Brazil,BRA,2015,2.5,0.7
Brazil,BRA,2016,2.5,0.7
Brazil,BRA,2017,2.5,0.9
Brazil,BRA,2018,2.5,1.1
Brazil,BRA,2019,2.5,3.1
Brazil,BRA,2020,2.8,6.3
Brazil,BRA,2021,3.4,8.5
Brazil,BRA,2022,3.2,6.6
Brazil,BRA,2023,2.5,3.4
