country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Bulgaria,BGR,2001,4.9,
Bulgaria,BGR,2002,5.2,
Bulgaria,BGR,2003,5.6,
Bulgaria,BGR,2004,6.0,
Bulgaria,BGR,2005,6.1,
Bulgaria,BGR,2006,6.3,
Bulgaria,BGR,2007,5.9,
Bulgaria,BGR,2008,5.8,
Bulgaria,BGR,2009,5.4,
Bulgaria,BGR,2010,5.3,
Bulgaria,BGR,2011,5.2,
Bulgaria,BGR,2012,4.8,
Bulgaria,BGR,2013,4.2,
Bulgaria,BGR,2014,4.2,
Bulgaria,BGR,2015,4.1,1.9
Bulgaria,BGR,2016,4.2,2.4
Bulgaria,BGR,2017,3.4,2.1
Bulgaria,BGR,2018,3.1,1.9
Bulgaria,BGR,2019,3.0,2.4
Bulgaria,BGR,2020,2.8,2.9
Bulgaria,BGR,2021,2.5,3.5
Bulgaria,BGR,2022,2.5,2.5
Bulgaria,BGR,2023,2.5,2.0
