country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Cameroon,CMR,2001,24.2,
Cameroon,CMR,2002,22.0,
Cameroon,CMR,2003,19.6,
Cameroon,CMR,2004,16.8,
Cameroon,CMR,2005,13.8,
Cameroon,CMR,2006,11.2,
Cameroon,CMR,2007,9.1,
Cameroon,CMR,2008,7.3,
Cameroon,CMR,2009,5.9,
Cameroon,CMR,2010,4.9,
Cameroon,CMR,2011,4.3,
Cameroon,CMR,2012,4.1,
Cameroon,CMR,2013,4.2,
Cameroon,CMR,2014,4.5,
Cameroon,CMR,2015,4.8,22.3
Cameroon,CMR,2016,5.4,26.6
Cameroon,CMR,2017,6.0,28.2
Cameroon,CMR,2018,6.2,28.1
Cameroon,CMR,2019,6.1,27.3
Cameroon,CMR,2020,5.9,26.7
Cameroon,CMR,2021,5.5,26.7
Cameroon,CMR,2022,5.1,25.4
Cameroon,CMR,2023,4.8,24.7
