country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Canada,CAN,2001,2.5,
Canada,CAN,2002,2.5,
Canada,CAN,2003,2.5,
Canada,CAN,2004,2.5,
Canada,CAN,2005,2.5,
Canada,CAN,2006,2.5,
Canada,CAN,2007,2.5,
Canada,CAN,2008,2.5,
Canada,CAN,2009,2.5,
Canada,CAN,2010,2.5,
Canada,CAN,2011,2.5,
Canada,CAN,2012,2.5,
Canada,CAN,2013,2.5,
Canada,CAN,2014,2.5,
Canada,CAN,2015,2.5,0.6
Canada,CAN,2016,2.5,0.6
Canada,CAN,2017,2.5,0.6
Canada,CAN,2018,2.5,0.7
Canada,CAN,2019,2.5,0.9
Canada,CAN,2020,2.5,1.0
Canada,CAN,2021,2.5,1.2
Canada,CAN,2022,2.5,1.5
Canada,CAN,2023,2.5,1.9
