country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Cape Verde,CPV,2001,16.2,
Cape Verde,CPV,2002,16.1,
Cape Verde,CPV,2003,14.8,
Cape Verde,CPV,2004,13.0,
Cape Verde,CPV,2005,12.7,
Cape Verde,CPV,2006,13.1,
Cape Verde,CPV,2007,14.1,
Cape Verde,CPV,2008,15.0,
Cape Verde,CPV,2009,15.2,
Cape Verde,CPV,2010,14.7,
Cape Verde,CPV,2011,14.1,
Cape Verde,CPV,2012,14.6,
Cape Verde,CPV,2013,15.3,
Cape Verde,CPV,2014,16.3,
Cape Verde,CPV,2015,16.6,
Cape Verde,CPV,2016,16.5,
Cape Verde,CPV,2017,15.5,9.6
Cape Verde,CPV,2018,14.8,8.6
Cape Verde,CPV,2019,13.4,7.6
Cape Verde,CPV,2020,12.6,6.4
Cape Verde,CPV,2021,12.1,6.1
Cape Verde,CPV,2022,12.8,6.0
Cape Verde,CPV,2023,13.5,6.1
