country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Central African Republic,CAF,2001,35.9,
Central African Republic,CAF,2002,36.9,
Central African Republic,CAF,2003,37.1,
Central African Republic,CAF,2004,36.7,
Central African Republic,CAF,2005,34.8,
Central African Republic,CAF,2006,33.0,
Central African Republic,CAF,2007,31.2,
Central African Republic,CAF,2008,29.4,
Central African Republic,CAF,2009,27.6,
Central African Republic,CAF,2010,26.7,
Central African Republic,CAF,2011,26.3,
Central African Republic,CAF,2012,28.7,
Central African Republic,CAF,2013,30.1,
Central African Republic,CAF,2014,30.9,
Central African Republic,CAF,2015,28.6,
Central African Republic,CAF,2016,26.7,
Central African Republic,CAF,2017,25.3,
Central African Republic,CAF,2018,24.4,
Central African Republic,CAF,2019,25.2,
Central African Republic,CAF,2020,26.6,56.3
Central African Republic,CAF,2021,29.2,56.3
Central African Republic,CAF,2022,29.6,56.3
Central African Republic,CAF,2023,29.8,
