country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Chad,TCD,2001,34.4,
Chad,TCD,2002,33.4,
Chad,TCD,2003,33.9,
Chad,TCD,2004,32.4,
Chad,TCD,2005,30.9,
Chad,TCD,2006,28.6,
Chad,TCD,2007,26.6,
Chad,TCD,2008,24.7,
Chad,TCD,2009,24.1,
Chad,TCD,2010,24.1,
Chad,TCD,2011,24.0,
Chad,TCD,2012,23.5,
Chad,TCD,2013,23.8,
Chad,TCD,2014,25.2,
Chad,TCD,2015,25.9,32.4
Chad,TCD,2016,26.1,35.4
Chad,TCD,2017,26.7,38.7
Chad,TCD,2018,28.1,39.7
Chad,TCD,2019,29.8,38.4
Chad,TCD,2020,30.1,32.7
Chad,TCD,2021,30.1,28.3
Chad,TCD,2022,30.5,25.2
Chad,TCD,2023,32.0,25.2
