country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Chile,CHL,2001,2.9,
Chile,CHL,2002,2.8,
Chile,CHL,2003,2.7,
Chile,CHL,2004,2.7,
Chile,CHL,2005,2.6,
Chile,CHL,2006,2.7,
Chile,CHL,2007,2.6,
Chile,CHL,2008,3.0,
Chile,CHL,2009,3.3,
Chile,CHL,2010,3.6,
Chile,CHL,2011,3.7,
Chile,CHL,2012,3.5,
Chile,CHL,2013,3.4,
Chile,CHL,2014,3.3,
Chile,CHL,2015,3.3,2.9
Chile,CHL,2016,3.3,3.1
Chile,CHL,2017,3.1,3.4
Chile,CHL,2018,3.0,3.6
Chile,CHL,2019,2.7,3.6
Chile,CHL,2020,2.5,3.8
Chile,CHL,2021,2.5,3.6
Chile,CHL,2022,2.5,3.7
Chile,CHL,2023,2.5,3.6
