country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
China,CHN,2001,10.0,
China,CHN,2002,9.3,
China,CHN,2003,8.6,
China,CHN,2004,7.8,
China,CHN,2005,6.9,
China,CHN,2006,6.0,
China,CHN,2007,4.9,
China,CHN,2008,3.9,
China,CHN,2009,2.9,
China,CHN,2010,2.5,
China,CHN,2011,2.5,
China,CHN,2012,2.5,
China,CHN,2013,2.5,
China,CHN,2014,2.5,
China,CHN,2015,2.5,
China,CHN,2016,2.5,
China,CHN,2017,2.5,
China,CHN,2018,2.5,
China,CHN,2019,2.5,
China,CHN,2020,2.5,
China,CHN,2021,2.5,
China,CHN,2022,2.5,
China,CHN,2023,2.5,
