country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Colombia,COL,2001,8.6,
Colombia,COL,2002,8.9,
Colombia,COL,2003,9.6,
Colombia,COL,2004,10.4,
Colombia,COL,2005,11.0,
Colombia,COL,2006,11.3,
Colombia,COL,2007,10.8,
Colombia,COL,2008,11.1,
Colombia,COL,2009,11.1,
Colombia,COL,2010,11.1,
Colombia,COL,2011,10.0,
Colombia,COL,2012,8.6,
Colombia,COL,2013,7.0,
Colombia,COL,2014,5.8,
Colombia,COL,2015,5.0,4.9
Colombia,COL,2016,4.4,4.7
Colombia,COL,2017,4.2,4.5
Colombia,COL,2018,4.2,4.6
Colombia,COL,2019,4.1,4.7
Colombia,COL,2020,4.2,5.0
Colombia,COL,2021,4.1,5.3
Colombia,COL,2022,4.1,5.3
Colombia,COL,2023,3.9,5.0
