country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Comoros,COM,2001,24.7,
Comoros,COM,2002,20.7,
Comoros,COM,2003,18.0,
Comoros,COM,2004,16.6,
Comoros,COM,2005,16.3,
Comoros,COM,2006,16.1,
Comoros,COM,2007,15.8,
Comoros,COM,2008,15.4,
Comoros,COM,2009,15.3,
Comoros,COM,2010,15.6,
Comoros,COM,2011,15.9,
Comoros,COM,2012,15.6,
Comoros,COM,2013,15.0,
Comoros,COM,2014,14.5,
Comoros,COM,2015,14.0,
Comoros,COM,2016,13.5,
Comoros,COM,2017,13.1,
Comoros,COM,2018,13.2,
Comoros,COM,2019,13.5,
Comoros,COM,2020,14.3,27.4
Comoros,COM,2021,15.6,27.4
Comoros,COM,2022,16.2,27.4
Comoros,COM,2023,15.4,27.4
