country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Congo,COG,2001,26.3,
Congo,COG,2002,25.9,
Congo,COG,2003,26.0,
Congo,COG,2004,27.2,
Congo,COG,2005,28.4,
Congo,COG,2006,30.5,
Congo,COG,2007,32.6,
Congo,COG,2008,34.9,
Congo,COG,2009,37.7,
Congo,COG,2010,40.4,
Congo,COG,2011,40.5,
Congo,COG,2012,37.4,
Congo,COG,2013,32.7,
Congo,COG,2014,29.6,
Congo,COG,2015,29.4,
Congo,COG,2016,29.6,
Congo,COG,2017,30.2,
Congo,COG,2018,29.7,
Congo,COG,2019,29.0,
Congo,COG,2020,27.7,
Congo,COG,2021,27.2,
Congo,COG,2022,26.8,
Congo,COG,2023,26.4,
