country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Costa Rica,CRI,2001,4.6,
Costa Rica,CRI,2002,4.8,
Costa Rica,CRI,2003,4.9,
Costa Rica,CRI,2004,4.5,
Costa Rica,CRI,2005,3.8,
Costa Rica,CRI,2006,3.3,
Costa Rica,CRI,2007,3.0,
Costa Rica,CRI,2008,3.0,
Costa Rica,CRI,2009,3.1,
Costa Rica,CRI,2010,3.1,
Costa Rica,CRI,2011,3.1,
Costa Rica,CRI,2012,3.1,
Costa Rica,CRI,2013,2.9,
Costa Rica,CRI,2014,2.7,
Costa Rica,CRI,2015,2.5,1.8
Costa Rica,CRI,2016,2.5,1.9
Costa Rica,CRI,2017,2.5,2.2
Costa Rica,CRI,2018,2.5,2.4
Costa Rica,CRI,2019,2.5,2.6
Costa Rica,CRI,2020,2.5,2.8
Costa Rica,CRI,2021,2.5,2.9
Costa Rica,CRI,2022,2.5,2.8
Costa Rica,CRI,2023,2.5,2.7
