country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Cote d'Ivoire,CIV,2001,18.9,
Cote d'Ivoire,CIV,2002,18.9,
Cote d'Ivoire,CIV,2003,18.3,
Cote d'Ivoire,CIV,2004,17.9,
Cote d'Ivoire,CIV,2005,17.6,
Cote d'Ivoire,CIV,2006,17.5,
Cote d'Ivoire,CIV,2007,17.5,
Cote d'Ivoire,CIV,2008,17.5,
Cote d'Ivoire,CIV,2009,17.6,
Cote d'Ivoire,CIV,2010,16.9,
Cote d'Ivoire,CIV,2011,16.0,
Cote d'Ivoire,CIV,2012,15.1,
Cote d'Ivoire,CIV,2013,15.5,
Cote d'Ivoire,CIV,2014,14.6,
Cote d'Ivoire,CIV,2015,13.5,6.2
Cote d'Ivoire,CIV,2016,11.5,7.5
Cote d'Ivoire,CIV,2017,10.6,8.4
Cote d'Ivoire,CIV,2018,9.8,9.1
Cote d'Ivoire,CIV,2019,9.4,9.0
Cote d'Ivoire,CIV,2020,9.2,9.1
Cote d'Ivoire,CIV,2021,9.7,9.4
Cote d'Ivoire,CIV,2022,10.4,8.9
Cote d'Ivoire,CIV,2023,11.1,8.4
