country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Croatia,HRV,2001,10.6,
Croatia,HRV,2002,7.1,
Croatia,HRV,2003,5.4,
Croatia,HRV,2004,4.3,
Croatia,HRV,2005,3.3,
Croatia,HRV,2006,2.7,
Croatia,HRV,2007,2.5,
Croatia,HRV,2008,2.5,
Croatia,HRV,2009,2.5,
Croatia,HRV,2010,2.7,
Croatia,HRV,2011,2.8,
Croatia,HRV,2012,2.5,
Croatia,HRV,2013,2.5,
Croatia,HRV,2014,2.5,
Croatia,HRV,2015,2.5,0.6
Croatia,HRV,2016,2.5,0.6
Croatia,HRV,2017,2.5,0.8
Croatia,HRV,2018,2.5,0.9
Croatia,HRV,2019,2.5,1.3
Croatia,HRV,2020,2.5,1.6
Croatia,HRV,2021,2.5,1.9
Croatia,HRV,2022,2.5,1.4
Croatia,HRV,2023,2.5,1.0
