country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Cyprus,CYP,2001,5.9,
Cyprus,CYP,2002,6.4,
Cyprus,CYP,2003,6.3,
Cyprus,CYP,2004,5.7,
Cyprus,CYP,2005,4.7,
Cyprus,CYP,2006,3.8,
Cyprus,CYP,2007,3.0,
Cyprus,CYP,2008,2.5,
Cyprus,CYP,2009,2.5,
Cyprus,CYP,2010,2.5,
Cyprus,CYP,2011,2.5,
Cyprus,CYP,2012,2.5,
Cyprus,CYP,2013,2.5,
Cyprus,CYP,2014,2.5,
Cyprus,CYP,2015,2.5,
Cyprus,CYP,2016,2.5,
Cyprus,CYP,2017,2.5,
Cyprus,CYP,2018,2.5,
Cyprus,CYP,2019,2.5,
Cyprus,CYP,2020,2.5,
Cyprus,CYP,2021,2.5,
Cyprus,CYP,2022,2.5,
Cyprus,CYP,2023,2.5,0.5
