country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Czechia,CZE,2001,2.5,
Czechia,CZE,2002,2.5,
Czechia,CZE,2003,2.5,
Czechia,CZE,2004,2.5,
Czechia,CZE,2005,2.5,
Czechia,CZE,2006,2.5,
Czechia,CZE,2007,2.5,
Czechia,CZE,2008,2.5,
Czechia,CZE,2009,2.5,
Czechia,CZE,2010,2.5,
Czechia,CZE,2011,2.5,
Czechia,CZE,2012,2.5,
Czechia,CZE,2013,2.5,
Czechia,CZE,2014,2.5,
Czechia,CZE,2015,2.5,0.7
Czechia,CZE,2016,2.5,0.5
Czechia,CZE,2017,2.5,0.5
Czechia,CZE,2018,2.5,0.5
Czechia,CZE,2019,2.5,0.8
Czechia,CZE,2020,2.5,1.6
Czechia,CZE,2021,2.5,2.3
Czechia,CZE,2022,2.5,2.2
Czechia,CZE,2023,2.5,1.8
