country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Democratic Republic of Congo,COD,2001,26.8,
Democratic Republic of Congo,COD,2002,27.2,
Democratic Republic of Congo,COD,2003,27.2,
Democratic Republic of Congo,COD,2004,27.3,
Democratic Republic of Congo,COD,2005,27.3,
Democratic Republic of Congo,COD,2006,27.4,
Democratic Republic of Congo,COD,2007,27.6,
Democratic Republic of Congo,COD,2008,27.7,
Democratic Republic of Congo,COD,2009,28.4,
Democratic Republic of Congo,COD,2010,28.7,
Democratic Republic of Congo,COD,2011,29.6,
Democratic Republic of Congo,COD,2012,30.5,
Democratic Republic of Congo,COD,2013,30.8,
Democratic Republic of Congo,COD,2014,31.1,
Democratic Republic of Congo,COD,2015,31.7,
Democratic Republic of Congo,COD,2016,32.3,
Democratic Republic of Congo,COD,2017,32.7,
Democratic Republic of Congo,COD,2018,32.5,
Democratic Republic of Congo,COD,2019,34.1,38.5
Democratic Republic of Congo,COD,2020,35.2,39.2
Democratic Republic of Congo,COD,2021,36.6,40.3
Democratic Republic of Congo,COD,2022,37.3,41.7
Democratic Republic of Congo,COD,2023,38.5,42.5
