country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Denmark,DNK,2001,2.5,
Denmark,DNK,2002,2.5,
Denmark,DNK,2003,2.5,
Denmark,DNK,2004,2.5,
Denmark,DNK,2005,2.5,
Denmark,DNK,2006,2.5,
Denmark,DNK,2007,2.5,
Denmark,DNK,2008,2.5,
Denmark,DNK,2009,2.5,
Denmark,DNK,2010,2.5,
Denmark,DNK,2011,2.5,
Denmark,DNK,2012,2.5,
Denmark,DNK,2013,2.5,
Denmark,DNK,2014,2.5,
Denmark,DNK,2015,2.5,1.0
Denmark,DNK,2016,2.5,1.1
Denmark,DNK,2017,2.5,1.1
Denmark,DNK,2018,2.5,1.1
Denmark,DNK,2019,2.5,1.1
Denmark,DNK,2020,2.5,1.4
Denmark,DNK,2021,2.5,1.8
Denmark,DNK,2022,2.5,1.9
Denmark,DNK,2023,2.5,2.4
