country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Djibouti,DJI,2001,40.8,
Djibouti,DJI,2002,39.4,
Djibouti,DJI,2003,36.5,
Djibouti,DJI,2004,32.7,
Djibouti,DJI,2005,28.9,
Djibouti,DJI,2006,24.6,
Djibouti,DJI,2007,22.1,
Djibouti,DJI,2008,20.2,
Djibouti,DJI,2009,20.0,
Djibouti,DJI,2010,19.5,
Djibouti,DJI,2011,18.8,
Djibouti,DJI,2012,17.4,
Djibouti,DJI,2013,15.7,
Djibouti,DJI,2014,14.1,
Djibouti,DJI,2015,13.1,
Djibouti,DJI,2016,12.7,
Djibouti,DJI,2017,12.6,
Djibouti,DJI,2018,12.2,
Djibouti,DJI,2019,11.9,
Djibouti,DJI,2020,12.0,16.5
Djibouti,DJI,2021,12.2,16.5
Djibouti,DJI,2022,12.5,16.5
Djibouti,DJI,2023,12.9,16.5
