country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Dominican Republic,DOM,2001,19.7,
Dominican Republic,DOM,2002,21.7,
Dominican Republic,DOM,2003,23.1,
Dominican Republic,DOM,2004,23.9,
Dominican Republic,DOM,2005,21.3,
Dominican Republic,DOM,2006,18.9,
Dominican Republic,DOM,2007,16.7,
Dominican Republic,DOM,2008,14.7,
Dominican Republic,DOM,2009,13.5,
Dominican Republic,DOM,2010,12.4,
Dominican Republic,DOM,2011,11.6,
Dominican Republic,DOM,2012,10.4,
Dominican Republic,DOM,2013,9.1,
Dominican Republic,DOM,2014,8.4,
Dominican Republic,DOM,2015,7.4,24.3
Dominican Republic,DOM,2016,6.7,23.7
Dominican Republic,DOM,2017,5.9,23.4
Dominican Republic,DOM,2018,5.6,22.4
Dominican Republic,DOM,2019,6.1,23.2
Dominican Republic,DOM,2020,5.9,22.2
Dominican Republic,DOM,2021,5.5,22.0
Dominican Republic,DOM,2022,4.4,19.0
Dominican Republic,DOM,2023,3.6,17.9
