country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Ecuador,ECU,2001,20.0,
Ecuador,ECU,2002,21.8,
Ecuador,ECU,2003,21.2,
Ecuador,ECU,2004,20.0,
Ecuador,ECU,2005,17.4,
Ecuador,ECU,2006,15.0,
Ecuador,ECU,2007,12.9,
Ecuador,ECU,2008,11.1,
Ecuador,ECU,2009,9.5,
Ecuador,ECU,2010,8.4,
Ecuador,ECU,2011,8.0,
Ecuador,ECU,2012,8.5,
Ecuador,ECU,2013,8.5,
Ecuador,ECU,2014,8.5,
Ecuador,ECU,2015,8.8,6.0
Ecuador,ECU,2016,9.5,7.1
Ecuador,ECU,2017,10.4,8.4
Ecuador,ECU,2018,11.3,9.9
Ecuador,ECU,2019,12.7,11.5
Ecuador,ECU,2020,13.4,12.8
Ecuador,ECU,2021,13.6,13.0
Ecuador,ECU,2022,12.8,12.7
Ecuador,ECU,2023,12.1,11.9
