country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Egypt,EGY,2001,4.8,
Egypt,EGY,2002,5.0,
Egypt,EGY,2003,5.5,
Egypt,EGY,2004,5.8,
Egypt,EGY,2005,5.8,
Egypt,EGY,2006,5.4,
Egypt,EGY,2007,5.1,
Egypt,EGY,2008,5.0,
Egypt,EGY,2009,4.9,
Egypt,EGY,2010,5.1,
Egypt,EGY,2011,5.2,
Egypt,EGY,2012,5.7,
Egypt,EGY,2013,6.1,
Egypt,EGY,2014,6.4,
Egypt,EGY,2015,6.5,8.4
Egypt,EGY,2016,6.6,8.7
Egypt,EGY,2017,6.6,8.6
Egypt,EGY,2018,6.4,7.4
Egypt,EGY,2019,6.6,6.7
Egypt,EGY,2020,7.1,7.1
Egypt,EGY,2021,7.9,8.8
Egypt,EGY,2022,8.8,10.4
Egypt,EGY,2023,9.4,12.0
