country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Estonia,EST,2001,3.6,
Estonia,EST,2002,3.5,
Estonia,EST,2003,3.4,
Estonia,EST,2004,2.9,
Estonia,EST,2005,2.5,
Estonia,EST,2006,2.5,
Estonia,EST,2007,2.5,
Estonia,EST,2008,2.5,
Estonia,EST,2009,2.5,
Estonia,EST,2010,2.5,
Estonia,EST,2011,2.5,
Estonia,EST,2012,2.5,
Estonia,EST,2013,2.5,
Estonia,EST,2014,2.5,
Estonia,EST,2015,2.5,0.9
Estonia,EST,2016,2.5,0.8
Estonia,EST,2017,2.5,1.0
Estonia,EST,2018,2.5,0.9
Estonia,EST,2019,2.5,0.8
Estonia,EST,2020,2.5,0.8
Estonia,EST,2021,2.5,0.7
Estonia,EST,2022,2.5,1.0
Estonia,EST,2023,2.5,1.1
