country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Eswatini,SWZ,2001,9.8,
Eswatini,SWZ,2002,9.2,
Eswatini,SWZ,2003,8.8,
Eswatini,SWZ,2004,9.7,
Eswatini,SWZ,2005,11.7,
Eswatini,SWZ,2006,13.9,
Eswatini,SWZ,2007,16.4,
Eswatini,SWZ,2008,19.6,
Eswatini,SWZ,2009,23.3,
Eswatini,SWZ,2010,24.9,
Eswatini,SWZ,2011,24.0,
Eswatini,SWZ,2012,20.4,
Eswatini,SWZ,2013,17.5,
Eswatini,SWZ,2014,16.2,
Eswatini,SWZ,2015,16.2,
Eswatini,SWZ,2016,16.3,
Eswatini,SWZ,2017,15.0,
Eswatini,SWZ,2018,13.4,
Eswatini,SWZ,2019,11.7,
Eswatini,SWZ,2020,11.4,14.1
Eswatini,SWZ,2021,11.6,15.6
Eswatini,SWZ,2022,13.1,18.6
Eswatini,SWZ,2023,14.7,22.2
