country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Ethiopia,ETH,2001,46.1,
Ethiopia,ETH,2002,43.2,
Ethiopia,ETH,2003,41.6,
Ethiopia,ETH,2004,39.1,
Ethiopia,ETH,2005,36.4,
Ethiopia,ETH,2006,32.7,
Ethiopia,ETH,2007,29.4,
Ethiopia,ETH,2008,26.3,
Ethiopia,ETH,2009,23.9,
Ethiopia,ETH,2010,22.4,
Ethiopia,ETH,2011,21.2,
Ethiopia,ETH,2012,19.8,
Ethiopia,ETH,2013,17.7,
Ethiopia,ETH,2014,15.2,
Ethiopia,ETH,2015,13.6,14.5
Ethiopia,ETH,2016,13.0,15.0
Ethiopia,ETH,2017,14.1,14.8
Ethiopia,ETH,2018,16.1,14.1
Ethiopia,ETH,2019,18.5,16.4
Ethiopia,ETH,2020,20.3,19.6
Ethiopia,ETH,2021,20.6,21.1
Ethiopia,ETH,2022,20.2,19.7
Ethiopia,ETH,2023,19.7,19.0
