country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Fiji,FJI,2001,3.6,
Fiji,FJI,2002,3.5,
Fiji,FJI,2003,3.6,
Fiji,FJI,2004,4.0,
Fiji,FJI,2005,4.5,
Fiji,FJI,2006,5.0,
Fiji,FJI,2007,5.6,
Fiji,FJI,2008,6.2,
Fiji,FJI,2009,6.8,
Fiji,FJI,2010,7.0,
Fiji,FJI,2011,7.3,
Fiji,FJI,2012,7.3,
Fiji,FJI,2013,7.2,
Fiji,FJI,2014,7.0,
Fiji,FJI,2015,7.2,
Fiji,FJI,2016,7.5,
Fiji,FJI,2017,7.3,
Fiji,FJI,2018,6.4,
Fiji,FJI,2019,5.6,2.0
Fiji,FJI,2020,6.2,4.2
Fiji,FJI,2021,6.7,6.3
Fiji,FJI,2022,7.3,8.5
Fiji,FJI,2023,6.8,
