country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
France,FRA,2001,2.5,
France,FRA,2002,2.5,
France,FRA,2003,2.5,
France,FRA,2004,2.5,
France,FRA,2005,2.5,
France,FRA,2006,2.5,
France,FRA,2007,2.5,
France,FRA,2008,2.5,
France,FRA,2009,2.5,
France,FRA,2010,2.5,
France,FRA,2011,2.5,
France,FRA,2012,2.5,
France,FRA,2013,2.5,
France,FRA,2014,2.5,
France,FRA,2015,2.5,1.6
France,FRA,2016,2.5,1.2
France,FRA,2017,2.5,0.9
France,FRA,2018,2.5,0.7
France,FRA,2019,2.5,0.7
France,FRA,2020,2.5,1.0
France,FRA,2021,2.5,1.6
France,FRA,2022,2.5,2.3
France,FRA,2023,2.5,2.7
