country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Gabon,GAB,2001,10.6,
Gabon,GAB,2002,12.0,
Gabon,GAB,2003,13.1,
Gabon,GAB,2004,13.8,
Gabon,GAB,2005,14.3,
Gabon,GAB,2006,14.5,
Gabon,GAB,2007,14.4,
Gabon,GAB,2008,14.3,
Gabon,GAB,2009,14.4,
Gabon,GAB,2010,14.0,
Gabon,GAB,2011,13.5,
Gabon,GAB,2012,13.0,
Gabon,GAB,2013,13.1,
Gabon,GAB,2014,13.3,
Gabon,GAB,2015,14.1,
Gabon,GAB,2016,15.3,
Gabon,GAB,2017,16.4,
Gabon,GAB,2018,17.5,
Gabon,GAB,2019,18.6,
Gabon,GAB,2020,19.7,
Gabon,GAB,2021,21.3,
Gabon,GAB,2022,23.5,
Gabon,GAB,2023,25.3,
