country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Gambia,GMB,2001,16.9,
Gambia,GMB,2002,18.9,
Gambia,GMB,2003,19.9,
Gambia,GMB,2004,19.1,
Gambia,GMB,2005,17.6,
Gambia,GMB,2006,15.5,
Gambia,GMB,2007,13.7,
Gambia,GMB,2008,12.0,
Gambia,GMB,2009,10.5,
Gambia,GMB,2010,9.7,
Gambia,GMB,2011,9.5,
Gambia,GMB,2012,10.2,
Gambia,GMB,2013,11.1,
Gambia,GMB,2014,11.9,
Gambia,GMB,2015,12.6,
Gambia,GMB,2016,12.8,23.6
Gambia,GMB,2017,14.2,23.6
Gambia,GMB,2018,15.0,24.6
Gambia,GMB,2019,16.8,25.7
Gambia,GMB,2020,18.0,27.1
Gambia,GMB,2021,18.9,27.0
Gambia,GMB,2022,18.3,25.5
Gambia,GMB,2023,16.8,21.7
