country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Germany,DEU,2001,2.5,
Germany,DEU,2002,2.5,
Germany,DEU,2003,2.5,
Germany,DEU,2004,2.5,
Germany,DEU,2005,2.5,
Germany,DEU,2006,2.5,
Germany,DEU,2007,2.5,
Germany,DEU,2008,2.5,
Germany,DEU,2009,2.5,
Germany,DEU,2010,2.5,
Germany,DEU,2011,2.5,
Germany,DEU,2012,2.5,
Germany,DEU,2013,2.5,
Germany,DEU,2014,2.5,
Germany,DEU,2015,2.5,1.0
Germany,DEU,2016,2.5,0.8
Germany,DEU,2017,2.5,0.7
Germany,DEU,2018,2.5,0.7
Germany,DEU,2019,2.5,0.7
Germany,DEU,2020,2.5,1.1
Germany,DEU,2021,2.5,1.4
Germany,DEU,2022,2.5,1.5
Germany,DEU,2023,2.5,1.2
