country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Ghana,GHA,2001,14.8,
Ghana,GHA,2002,13.4,
Ghana,GHA,2003,12.6,
Ghana,GHA,2004,12.0,
Ghana,GHA,2005,11.1,
Ghana,GHA,2006,10.4,
Ghana,GHA,2007,9.2,
Ghana,GHA,2008,8.1,
Ghana,GHA,2009,6.9,
Ghana,GHA,2010,6.9,
Ghana,GHA,2011,7.3,
Ghana,GHA,2012,7.7,
Ghana,GHA,2013,8.0,
Ghana,GHA,2014,8.7,
Ghana,GHA,2015,9.4,5.1
Ghana,GHA,2016,9.5,6.0
Ghana,GHA,2017,8.8,6.9
Ghana,GHA,2018,7.5,6.2
Ghana,GHA,2019,6.6,6.0
Ghana,GHA,2020,5.7,5.6
Ghana,GHA,2021,5.6,7.0
Ghana,GHA,2022,5.9,8.2
Ghana,GHA,2023,6.3,9.4
