country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Greece,GRC,2001,2.5,
Greece,GRC,2002,2.5,
Greece,GRC,2003,2.5,
Greece,GRC,2004,2.5,
Greece,GRC,2005,2.5,
Greece,GRC,2006,2.5,
Greece,GRC,2007,2.5,
Greece,GRC,2008,2.5,
Greece,GRC,2009,2.5,
Greece,GRC,2010,2.5,
Greece,GRC,2011,2.5,
Greece,GRC,2012,2.5,
Greece,GRC,2013,2.5,
Greece,GRC,2014,2.5,
Greece,GRC,2015,2.5,2.6
Greece,GRC,2016,2.5,3.2
Greece,GRC,2017,2.5,3.2
Greece,GRC,2018,2.5,2.3
Greece,GRC,2019,2.5,1.7
Greece,GRC,2020,2.5,1.5
Greece,GRC,2021,2.5,1.5
Greece,GRC,2022,2.5,1.5
Greece,GRC,2023,2.5,1.5
