country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Guatemala,GTM,2001,22.4,
Guatemala,GTM,2002,20.1,
Guatemala,GTM,2003,19.2,
Guatemala,GTM,2004,19.5,
Guatemala,GTM,2005,19.2,
Guatemala,GTM,2006,18.1,
Guatemala,GTM,2007,18.5,
Guatemala,GTM,2008,18.1,
Guatemala,GTM,2009,17.3,
Guatemala,GTM,2010,15.6,
Guatemala,GTM,2011,15.0,
Guatemala,GTM,2012,15.4,
Guatemala,GTM,2013,15.8,
Guatemala,GTM,2014,15.9,
Guatemala,GTM,2015,15.4,16.1
Guatemala,GTM,2016,14.6,17.0
Guatemala,GTM,2017,14.3,17.1
Guatemala,GTM,2018,14.0,18.1
Guatemala,GTM,2019,14.0,19.2
Guatemala,GTM,2020,13.5,20.7
Guatemala,GTM,2021,12.9,20.3
Guatemala,GTM,2022,12.1,20.8
Guatemala,GTM,2023,11.8,21.3
