country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Guinea-Bissau,GNB,2001,15.6,
Guinea-Bissau,GNB,2002,16.0,
Guinea-Bissau,GNB,2003,16.9,
Guinea-Bissau,GNB,2004,18.0,
Guinea-Bissau,GNB,2005,18.6,
Guinea-Bissau,GNB,2006,19.3,
Guinea-Bissau,GNB,2007,20.0,
Guinea-Bissau,GNB,2008,20.7,
Guinea-Bissau,GNB,2009,21.5,
Guinea-Bissau,GNB,2010,22.6,
Guinea-Bissau,GNB,2011,23.7,
Guinea-Bissau,GNB,2012,25.1,
Guinea-Bissau,GNB,2013,29.1,
Guinea-Bissau,GNB,2014,30.1,
Guinea-Bissau,GNB,2015,28.0,
Guinea-Bissau,GNB,2016,19.8,
Guinea-Bissau,GNB,2017,13.6,8.3
Guinea-Bissau,GNB,2018,12.4,8.3
Guinea-Bissau,GNB,2019,13.1,8.5
Guinea-Bissau,GNB,2020,16.7,8.7
Guinea-Bissau,GNB,2021,19.5,8.9
Guinea-Bissau,GNB,2022,22.0,9.0
Guinea-Bissau,GNB,2023,22.1,
