country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Guinea,GIN,2001,18.0,
Guinea,GIN,2002,17.8,
Guinea,GIN,2003,16.9,
Guinea,GIN,2004,16.4,
Guinea,GIN,2005,16.4,
Guinea,GIN,2006,16.8,
Guinea,GIN,2007,17.2,
Guinea,GIN,2008,17.7,
Guinea,GIN,2009,18.4,
Guinea,GIN,2010,18.1,
Guinea,GIN,2011,17.2,
Guinea,GIN,2012,15.5,
Guinea,GIN,2013,14.2,
Guinea,GIN,2014,13.6,
Guinea,GIN,2015,13.6,
Guinea,GIN,2016,14.0,
Guinea,GIN,2017,14.0,
Guinea,GIN,2018,13.4,
Guinea,GIN,2019,12.5,
Guinea,GIN,2020,11.1,
Guinea,GIN,2021,10.4,
Guinea,GIN,2022,10.4,
Guinea,GIN,2023,11.4,
