country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Guyana,GUY,2001,5.7,
Guyana,GUY,2002,5.7,
Guyana,GUY,2003,6.1,
Guyana,GUY,2004,6.6,
Guyana,GUY,2005,7.1,
Guyana,GUY,2006,7.6,
Guyana,GUY,2007,8.2,
Guyana,GUY,2008,8.8,
Guyana,GUY,2009,9.5,
Guyana,GUY,2010,9.7,
Guyana,GUY,2011,8.9,
Guyana,GUY,2012,8.0,
Guyana,GUY,2013,6.9,
Guyana,GUY,2014,5.7,
Guyana,GUY,2015,4.4,
Guyana,GUY,2016,3.4,
Guyana,GUY,2017,3.1,
Guyana,GUY,2018,2.9,
Guyana,GUY,2019,2.7,
Guyana,GUY,2020,2.5,
Guyana,GUY,2021,2.5,4.7
Guyana,GUY,2022,2.5,4.7
Guyana,GUY,2023,2.5,4.7
