country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Haiti,HTI,2001,48.0,
Haiti,HTI,2002,50.1,
Haiti,HTI,2003,50.2,
Haiti,HTI,2004,49.7,
Haiti,HTI,2005,47.7,
Haiti,HTI,2006,45.9,
Haiti,HTI,2007,44.0,
Haiti,HTI,2008,42.2,
Haiti,HTI,2009,40.4,
Haiti,HTI,2010,39.5,
Haiti,HTI,2011,39.7,
Haiti,HTI,2012,39.8,
Haiti,HTI,2013,39.0,
Haiti,HTI,2014,37.8,
Haiti,HTI,2015,37.9,
Haiti,HTI,2016,38.7,
Haiti,HTI,2017,40.3,
Haiti,HTI,2018,41.2,
Haiti,HTI,2019,42.6,48.8
Haiti,HTI,2020,43.6,45.2
Haiti,HTI,2021,47.8,42.9
Haiti,HTI,2022,51.1,42.4
Haiti,HTI,2023,54.2,45.4
