country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Honduras,HND,2001,21.1,
Honduras,HND,2002,20.4,
Honduras,HND,2003,20.0,
Honduras,HND,2004,19.3,
Honduras,HND,2005,18.1,
Honduras,HND,2006,16.9,
Honduras,HND,2007,15.9,
Honduras,HND,2008,14.9,
Honduras,HND,2009,14.0,
Honduras,HND,2010,13.2,
Honduras,HND,2011,12.9,
Honduras,HND,2012,13.0,
Honduras,HND,2013,13.7,
Honduras,HND,2014,14.2,
Honduras,HND,2015,14.2,14.2
Honduras,HND,2016,13.7,14.1
Honduras,HND,2017,13.2,14.1
Honduras,HND,2018,13.1,14.0
Honduras,HND,2019,13.5,14.6
Honduras,HND,2020,13.7,15.1
Honduras,HND,2021,14.1,15.5
Honduras,HND,2022,14.0,15.3
Honduras,HND,2023,14.8,15.4
