country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Hungary,HUN,2001,2.5,
Hungary,HUN,2002,2.5,
Hungary,HUN,2003,2.5,
Hungary,HUN,2004,2.5,
Hungary,HUN,2005,2.5,
Hungary,HUN,2006,2.5,
Hungary,HUN,2007,2.5,
Hungary,HUN,2008,2.5,
Hungary,HUN,2009,2.5,
Hungary,HUN,2010,2.5,
Hungary,HUN,2011,2.5,
Hungary,HUN,2012,2.5,
Hungary,HUN,2013,2.5,
Hungary,HUN,2014,2.5,
Hungary,HUN,2015,2.5,1.4
Hungary,HUN,2016,2.5,1.1
Hungary,HUN,2017,2.5,0.9
Hungary,HUN,2018,2.5,0.8
Hungary,HUN,2019,2.5,1.4
Hungary,HUN,2020,2.5,2.1
Hungary,HUN,2021,2.5,3.0
Hungary,HUN,2022,2.5,3.6
Hungary,HUN,2023,2.5,4.5
