country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Iceland,ISL,2001,2.5,
Iceland,ISL,2002,2.5,
Iceland,ISL,2003,2.5,
Iceland,ISL,2004,2.5,
Iceland,ISL,2005,2.5,
Iceland,ISL,2006,2.5,
Iceland,ISL,2007,2.5,
Iceland,ISL,2008,2.5,
Iceland,ISL,2009,2.5,
Iceland,ISL,2010,2.5,
Iceland,ISL,2011,2.5,
Iceland,ISL,2012,2.5,
Iceland,ISL,2013,2.5,
Iceland,ISL,2014,2.5,
Iceland,ISL,2015,2.5,1.7
Iceland,ISL,2016,2.5,1.7
Iceland,ISL,2017,2.5,1.5
Iceland,ISL,2018,2.5,1.5
Iceland,ISL,2019,2.5,1.5
Iceland,ISL,2020,2.5,1.3
Iceland,ISL,2021,2.5,1.6
Iceland,ISL,2022,2.5,1.9
Iceland,ISL,2023,2.5,2.1
