country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
India,IND,2001,18.1,
India,IND,2002,19.7,
India,IND,2003,21.2,
India,IND,2004,21.7,
India,IND,2005,21.1,
India,IND,2006,18.9,
India,IND,2007,16.6,
India,IND,2008,15.3,
India,IND,2009,15.0,
India,IND,2010,14.6,
India,IND,2011,14.2,
India,IND,2012,13.4,
India,IND,2013,12.8,
India,IND,2014,12.6,
India,IND,2015,12.1,
India,IND,2016,11.6,
India,IND,2017,10.6,
India,IND,2018,10.5,
India,IND,2019,11.8,
India,IND,2020,13.4,
India,IND,2021,14.3,
India,IND,2022,13.5,
India,IND,2023,12.0,
