country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Indonesia,IDN,2001,18.1,
Indonesia,IDN,2002,18.1,
Indonesia,IDN,2003,18.0,
Indonesia,IDN,2004,18.2,
Indonesia,IDN,2005,18.4,
Indonesia,IDN,2006,18.1,
Indonesia,IDN,2007,17.5,
Indonesia,IDN,2008,16.5,
Indonesia,IDN,2009,15.0,
Indonesia,IDN,2010,12.9,
Indonesia,IDN,2011,10.9,
Indonesia,IDN,2012,9.5,
Indonesia,IDN,2013,8.3,
Indonesia,IDN,2014,7.8,
Indonesia,IDN,2015,7.1,0.7
Indonesia,IDN,2016,6.6,0.9
Indonesia,IDN,2017,6.0,0.9
Indonesia,IDN,2018,6.0,0.8
Indonesia,IDN,2019,6.4,0.5
Indonesia,IDN,2020,6.6,0.5
Indonesia,IDN,2021,6.6,0.5
Indonesia,IDN,2022,6.6,0.5
Indonesia,IDN,2023,6.3,0.5
