country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Iran,IRN,2001,4.9,
Iran,IRN,2002,5.2,
Iran,IRN,2003,5.5,
Iran,IRN,2004,5.9,
Iran,IRN,2005,6.4,
Iran,IRN,2006,6.9,
Iran,IRN,2007,7.4,
Iran,IRN,2008,7.9,
Iran,IRN,2009,8.4,
Iran,IRN,2010,9.4,
Iran,IRN,2011,9.5,
Iran,IRN,2012,9.2,
Iran,IRN,2013,8.0,
Iran,IRN,2014,7.6,
Iran,IRN,2015,7.4,9.5
Iran,IRN,2016,7.7,9.3
Iran,IRN,2017,8.0,8.7
Iran,IRN,2018,8.0,8.4
Iran,IRN,2019,7.7,8.7
Iran,IRN,2020,6.9,7.7
Iran,IRN,2021,6.8,7.4
Iran,IRN,2022,6.7,6.4
Iran,IRN,2023,6.8,5.9
