country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Iraq,IRQ,2001,20.1,
Iraq,IRQ,2002,19.5,
Iraq,IRQ,2003,18.4,
Iraq,IRQ,2004,17.8,
Iraq,IRQ,2005,16.5,
Iraq,IRQ,2006,16.5,
Iraq,IRQ,2007,16.4,
Iraq,IRQ,2008,15.6,
Iraq,IRQ,2009,14.5,
Iraq,IRQ,2010,13.4,
Iraq,IRQ,2011,13.6,
Iraq,IRQ,2012,14.2,
Iraq,IRQ,2013,14.9,
Iraq,IRQ,2014,15.3,
Iraq,IRQ,2015,15.7,
Iraq,IRQ,2016,16.1,
Iraq,IRQ,2017,16.0,
Iraq,IRQ,2018,15.8,
Iraq,IRQ,2019,15.4,
Iraq,IRQ,2020,15.1,
Iraq,IRQ,2021,15.4,
Iraq,IRQ,2022,15.3,
Iraq,IRQ,2023,14.9,
