country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Israel,ISR,2001,2.5,
Israel,ISR,2002,2.5,
Israel,ISR,2003,2.5,
Israel,ISR,2004,2.5,
Israel,ISR,2005,2.5,
Israel,ISR,2006,2.5,
Israel,ISR,2007,2.5,
Israel,ISR,2008,2.5,
Israel,ISR,2009,2.5,
Israel,ISR,2010,2.5,
Israel,ISR,2011,2.5,
Israel,ISR,2012,2.5,
Israel,ISR,2013,2.5,
Israel,ISR,2014,2.5,
Israel,ISR,2015,2.5,1.3
Israel,ISR,2016,2.5,1.3
Israel,ISR,2017,2.5,1.6
Israel,ISR,2018,2.5,1.8
Israel,ISR,2019,2.5,1.9
Israel,ISR,2020,2.5,1.2
Israel,ISR,2021,2.5,1.0
Israel,ISR,2022,2.5,0.8
Israel,ISR,2023,2.5,0.9
