country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Italy,ITA,2001,2.5,
Italy,ITA,2002,2.5,
Italy,ITA,2003,2.5,
Italy,ITA,2004,2.5,
Italy,ITA,2005,2.5,
Italy,ITA,2006,2.5,
Italy,ITA,2007,2.5,
Italy,ITA,2008,2.5,
Italy,ITA,2009,2.5,
Italy,ITA,2010,2.5,
Italy,ITA,2011,2.5,
Italy,ITA,2012,2.5,
Italy,ITA,2013,2.5,
Italy,ITA,2014,2.5,
Italy,ITA,2015,2.5,
Italy,ITA,2016,2.5,
Italy,ITA,2017,2.5,
Italy,ITA,2018,2.5,
Italy,ITA,2019,2.5,
Italy,ITA,2020,2.5,
Italy,ITA,2021,2.5,0.5
Italy,ITA,2022,2.5,0.5
Italy,ITA,2023,2.5,0.5
